"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Verify that the Features of ThirdParty Car Insurance section is displayed - TC_157","webkit","2026-08-14","skipped","2026-08-14","Third Party Car Insurance - @regression","generated/car-module.test.ts","",""
"","0","Verify that an Own Damage insurer link redirects correctly - TC_443","webkit","2026-08-14","skipped","2026-08-14","Royal Sundaram Own Damage - Other Own Damage Plans - @regression","generated/car-module.test.ts","",""
"","0","Verify that the Royal Sundaram Car Insurance Renewal Process section is displayed - TC_432","firefox","2026-08-14","skipped","2026-08-14","Royal Sundaram Own Damage - Renewal - @regression","generated/car-module.test.ts","",""
"","1","Verify that the user is able to click on Get Quotes Without Bike Number CTA - TC_121","chromium","2026-08-14","skipped","2026-08-14","Our partners (BIKE) - @regression > Insurer Landing Page Flow","generated/partners.test.ts","",""
"","0","Verify that the user is able to enter pincode - TC_112","mobile-chrome","2026-08-14","skipped","2026-08-14","Life Dropdown & Navigation - @smoke @regression > Life Landing Page Flow","generated/dropdown-navigation.test.ts","",""
"","0","Verify that the Get Quote CTA is displayed - TC_205","chromium","2026-08-14","skipped","2026-08-14","Car Insurance - Top Quote Section - @regression","generated/car-module.test.ts","",""
"","18877","Verify that the car registration number field is displayed - TC_327","chromium","2026-08-14","failed","2026-08-14","SBI Third Party - Premium Calculator - @regression","generated/car-module.test.ts","",""
"","0","Verify that the Reimbursement Claim process is displayed - TC_420","webkit","2026-08-14","skipped","2026-08-14","Royal Sundaram Own Damage - Claims - @regression","generated/car-module.test.ts","",""
"","1","Verify that the Consumable Cover addon is displayed - TC_270","firefox","2026-08-14","skipped","2026-08-14","SBI Comprehensive - Add-ons - @regression","generated/car-module.test.ts","",""
"","0","Verify that a valid car registration number can be entered - TC_328","webkit","2026-08-14","skipped","2026-08-14","SBI Third Party - Premium Calculator - @regression","generated/car-module.test.ts","",""
"","0","Verify that the user is able to click on Articles - TC_132","mobile-safari","2026-08-14","skipped","2026-08-14","Our partners (BIKE) - @regression > Insurer Landing Page Flow","generated/partners.test.ts","",""
"","0","Verify that after entering valid pincode click on Submit should land on Advisor Listing Page - TC_092","mobile-chrome","2026-08-14","skipped","2026-08-14","Life - Shared Flows - @regression @advisor > Find Advisor Popup Flow","generated/shared-flows.test.ts","",""
"","0","Verify that the car registration number field is displayed - TC_327","mobile-safari","2026-08-14","skipped","2026-08-14","SBI Third Party - Premium Calculator - @regression","generated/car-module.test.ts","",""
"","0","Verify that the user is able to click on Insurer on the Insurer section - TC_135","webkit","2026-08-14","skipped","2026-08-14","Our partners (BIKE) - @regression > Insurer Landing Page Flow","generated/partners.test.ts","",""
"","0","Verify that the Read More CTA is displayed - TC_209","mobile-safari","2026-08-14","skipped","2026-08-14","Car Insurance - Introduction - @regression","generated/car-module.test.ts","",""
"","0","Verify that the SBI Premium Calculator section is displayed - TC_326","mobile-safari","2026-08-14","skipped","2026-08-14","SBI Third Party - Premium Calculator - @regression","generated/car-module.test.ts","",""
"","0","Verify that Year of Inception should be present on top of the page - TC_165","firefox","2026-08-14","skipped","2026-08-14","Our partners (Health) - @regression > Insurer Landing Page Flow","generated/partners.test.ts","",""
"","0","Verify that the ThirdParty Liability information is displayed - TC_321","mobile-safari","2026-08-14","skipped","2026-08-14","SBI Third Party - Overview - @regression","generated/car-module.test.ts","",""
"","0","Verify that the user is able to select Insurer from Our partner sectionand should and land on Insure - TC_115","mobile-safari","2026-08-14","skipped","2026-08-14","Our partners (BIKE) - @regression > Home Page Flow","generated/partners.test.ts","",""
"","0","Verify that the National Cashless Garages section is displayed - TC_081","mobile-chrome","2026-08-14","skipped","2026-08-14","National Cashless Garages - @regression","generated/car-module.test.ts","",""
"","0","Verify that the SBI Customer Care section is displayed - TC_355","webkit","2026-08-14","skipped","2026-08-14","SBI Third Party - Customer Care - @regression","generated/car-module.test.ts","",""
"","0","Verify that the SBI Third Party Car Insurance Overview section is displayed - TC_320","webkit","2026-08-14","skipped","2026-08-14","SBI Third Party - Overview - @regression","generated/car-module.test.ts","",""
"","0","Verify that the Royal Sundaram Own Damage Car Insurance top section is displayed - TC_369","mobile-chrome","2026-08-14","skipped","2026-08-14","Royal Sundaram Own Damage - Top Section - @regression","generated/car-module.test.ts","",""
"","27898","Verify that all insurer options are displayed under Bike Insurance Companies - TC_009","chromium","2026-08-14","failed","2026-08-14","Bike Dropdown & Navigation - @smoke @regression > Bike Insurance Companies","generated/dropdown-navigation.test.ts","",""
"","15584","Verify that the Plans navigation option is clickable - TC_056","chromium","2026-08-14","failed","2026-08-14","National Car Insurance Navigation - @regression","generated/car-module.test.ts","",""
"","1","Verify that the Points to Note When Raising a ThirdParty Car Insurance Claim section is displayed - TC_172","mobile-safari","2026-08-14","skipped","2026-08-14","Third Party Car Insurance - @regression","generated/car-module.test.ts","",""
"","0","Verify that the User should redirect to Life landing page on clicking Get a Quote CTA - TC_104","firefox","2026-08-14","skipped","2026-08-14","Life - Shared Flows - @regression @advisor > Home Page Flow","generated/shared-flows.test.ts","",""
"","26479","Verify that an insurer link is clickable - TC_014","chromium","2026-08-14","failed","2026-08-14","Health Dropdown & Navigation - @smoke @regression > Health Insurance Companies","generated/dropdown-navigation.test.ts","",""
"","0","Verify that home functionality is redirecting to Homepage or not - TC_045","mobile-chrome","2026-08-14","skipped","2026-08-14","Bike - Shared Flows - @regression @advisor > Advisor Listing Page Flow","generated/shared-flows.test.ts","",""
"","0","Verify that the National Car Insurance Claims section is displayed - TC_096","mobile-chrome","2026-08-14","skipped","2026-08-14","National Car Insurance Claims - @regression","generated/car-module.test.ts","",""
"","0","Verify that once user enters Pincode then Submit CTA should enable - TC_037","mobile-chrome","2026-08-14","skipped","2026-08-14","Bike - Shared Flows - @regression @advisor > Find Advisor Popup Flow","generated/shared-flows.test.ts","",""
"","0","Verify that the Addons menu navigates to the Addons section - TC_384","chromium","2026-08-14","skipped","2026-08-14","Royal Sundaram Own Damage - Section Navigation - @regression","generated/car-module.test.ts","",""
"","0","Verify that the Inclusions of ThirdParty Car Insurance option is clickable - TC_134","mobile-chrome","2026-08-14","skipped","2026-08-14","Third Party Car Insurance - Table of Contents - @regression","generated/car-module.test.ts","",""
"","0","Verify that the Life Insurance link is clickable - TC_152","webkit","2026-08-14","skipped","2026-08-14","Third Party Car Insurance - Get Best Insurance Quotes - @regression","generated/car-module.test.ts","",""
"","0","Verify that the available car insurance plan categories are displayed - TC_222","webkit","2026-08-14","skipped","2026-08-14","Car Insurance - Top Car Insurance Plans - @regression","generated/car-module.test.ts","",""
"","18180","Verify that the Buy Now CTA is displayed for the Comprehensive plan - TC_073","chromium","2026-08-14","failed","2026-08-14","National Car Insurance Plans - @regression","generated/car-module.test.ts","",""
"","0","Verify that the National Claim Settlement Ratio section is displayed - TC_067","mobile-chrome","2026-08-14","skipped","2026-08-14","National Car Insurance - @regression","generated/car-module.test.ts","",""
"","1","Verify that the User should get this Please select type of insurance to proceed to the next step mes - TC_030","firefox","2026-08-14","skipped","2026-08-14","Bike - Shared Flows - @regression @advisor > Home Page Flow","generated/shared-flows.test.ts","",""
"","0","Verify that the Articles menu navigates to the Articles section - TC_385","firefox","2026-08-14","skipped","2026-08-14","Royal Sundaram Own Damage - Section Navigation - @regression","generated/car-module.test.ts","",""
"","0","Verify that the User should get this Please select type of insurance to proceed to the next step mes - TC_056","mobile-chrome","2026-08-14","skipped","2026-08-14","Car Dashboard - @smoke @regression","generated/car-module.test.ts","",""
"","0","Verify that an insurer link is clickable - TC_014","firefox","2026-08-14","skipped","2026-08-14","Health Dropdown & Navigation - @smoke @regression > Health Insurance Companies","generated/dropdown-navigation.test.ts","",""
"","17945","Verify that the Get Quotes Without Car Number CTA is displayed - TC_307","chromium","2026-08-14","failed","2026-08-14","SBI Third Party - Top Section - @regression","generated/car-module.test.ts","",""
"","0","Verify that advisor policy sold count is visible - TC_049","mobile-chrome","2026-08-14","skipped","2026-08-14","Bike - Shared Flows - @regression @advisor > Advisor Listing Page Flow","generated/shared-flows.test.ts","",""
"","0","Verify that the Key Replacement addon is displayed - TC_265","firefox","2026-08-14","skipped","2026-08-14","SBI Comprehensive - Add-ons - @regression","generated/car-module.test.ts","",""
"","0","Verify that the Check Premium CTA is displayed - TC_217","firefox","2026-08-14","skipped","2026-08-14","Car Insurance - Top Car Insurance Plans - @regression","generated/car-module.test.ts","",""
"","0","Verify that clicking Get Quotes Without Car Number redirects correctly - TC_374","firefox","2026-08-14","skipped","2026-08-14","Royal Sundaram Own Damage - Top Section - @regression","generated/car-module.test.ts","",""
"","0","Verify that Year of Inception should be present on top of the page - TC_165","mobile-chrome","2026-08-14","skipped","2026-08-14","Our partners (Health) - @regression > Insurer Landing Page Flow","generated/partners.test.ts","",""
"","1","Verify that all topics are displayed in the Table of Contents - TC_125","firefox","2026-08-14","skipped","2026-08-14","Third Party Car Insurance - @regression","generated/car-module.test.ts","",""
"","0","Verify that the available Own Damage insurers are displayed - TC_442","webkit","2026-08-14","skipped","2026-08-14","Royal Sundaram Own Damage - Other Own Damage Plans - @regression","generated/car-module.test.ts","",""
"","0","Verify that the Check Premium CTA is displayed - TC_329","webkit","2026-08-14","skipped","2026-08-14","SBI Third Party - Premium Calculator - @regression","generated/car-module.test.ts","",""
"","16217","Verify that the Latest Articles On SBI section is displayed - TC_358","chromium","2026-08-14","failed","2026-08-14","SBI Third Party - Articles - @regression","generated/car-module.test.ts","",""
"","0","Verify that the National navigation menu is displayed - TC_054","mobile-safari","2026-08-14","skipped","2026-08-14","National Car Insurance Navigation - @regression","generated/car-module.test.ts","",""
"","0","Verify that the FAQ answer is displayed correctly - TC_113","webkit","2026-08-14","skipped","2026-08-14","National Car Insurance FAQs - @regression","generated/car-module.test.ts","",""
"","1","Verify that the claim intimation information is displayed - TC_413","mobile-safari","2026-08-14","skipped","2026-08-14","Royal Sundaram Own Damage - Claims - @regression","generated/car-module.test.ts","",""
"","0","Verify that No Claim Bonus Protection is displayed - TC_334","mobile-chrome","2026-08-14","skipped","2026-08-14","SBI Third Party - Add-ons - @regression","generated/car-module.test.ts","",""
"","0","Verify that the user is able to enter pincode - TC_112","mobile-chrome","2026-08-14","skipped","2026-08-14","Life Landing Page - @regression @landing","generated/life-landing.test.ts","",""
